,name,payment_modes,locality
6143,One More Tea,"
Digital payments accepted","Viman Nagar, Pune"
6144,Red Chillies,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
6145,Golden Panipuri And Bhel,,"Kondhwa, Pune"
6146,Puneri55,,"Hadapsar, Pune"
6147,Hyderabad Darbar,,"Baner, Pune"
6148,Fruitango,,"Pimple Gurav, Pune"
6149,Sagar Ratna,,"Westend Mall, Aundh, Pune"
6150,Kwality Wall’s Frozen Dessert and Ice Cream Shop,,"Yerawada, Pune"
6151,Dev Uncle Kitchen,Cash and Cards accepted,"Kondhwa, Pune"
6152,NIC - Natural Ice Creams,,"Pimple Saudagar, Pune"
6153,Vicky Delighting Dishes,"
Digital payments accepted","Aundh, Pune"
6154,Raju's Cafe,"Cash and Cards accepted
Digital payments accepted","Salunkhe Vihar Road, Pune"
6155,Paratha Experiment,,"Kothrud, Pune"
6156,The Multi Food Kitchen,,"Yerawada, Pune"
6157,The Dessert Heaven,,"Wakad, Pune"
6158,The Bowl Company,,"Wadgaon Sheri, Pune"
6159,Cake Point Party Spot  By RJ Bakers,"
Digital payments accepted","Sinhgad Road, Pune"
6160,In Between,,"Wakad, Pune"
6161,Pawars Kitchenwala,,"Chinchwad, Pune"
6162,Bubsterr's Bar & Kitchen,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
6163,Kolhapuri Gavran Tadka,,"Akurdi, Pune"
6164,Tandoori Momos Point,,"Dhanori, Pune"
6165,Supriya Restaurant,Cash and Cards accepted,"Camp Area, Pune"
6166,Cake Castle Bakery,,"Yerawada, Pune"
6167,8x Pizza,,"Kharadi, Pune"
6168,Umesh Tamang Momos,,"Salunkhe Vihar Road, Pune"
6169,Sarvoday Foods,,"Chinchwad, Pune"
6170,Chilling Adda,"Cash and Cards accepted
Digital payments accepted","Shukrawar Peth, Pune"
6171,Mughal Rasoi,,"Bibvewadi, Pune"
6172,Frozen Bottle,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
6173,Thikana,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
6174,Pizza Hut,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Pimpri, Pune"
6175,Vighnaharta Hotel ,,"Karve Nagar, Pune"
6176,Shri Kailash Dairy,"Cash and Cards accepted
Digital payments accepted","Shukrawar Peth, Pune"
6177,Hotel Vakratund,,"Wagholi, Pune"
6178,Cinnamon Restaurant,Cash and Cards accepted,"Shantai Hotel, Rasta Peth, Pune"
6179,Neo Wood Ambassador,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
6180,La Cheezy - Fresh Pizza From The Oven,"
Digital payments accepted","Dhole Patil Road, Pune"
6181,Metro Cafe,"
Digital payments accepted","Dhankawadi, Pune"
6182,Brunch & Meal Box,,"Dhanori, Pune"
6183,LeanCrust Pizza - ThinCrust Experts,,"Bavdhan, Pune"
6184,Paan Culture,"Cash and Debit Cards accepted
Digital payments accepted","Hadapsar, Pune"
6185,Cafe Farmhouse,"Cash and Cards accepted
Digital payments accepted","Wanowrie, Pune"
6186,Cafe Classic,,"Pimple Saudagar, Pune"
6187,Late Night Biryani,,"Narhe, Pune"
6188,AK Caterers & Biryani House,"
Digital payments accepted","Sinhgad Road, Pune"
6189,Maggi In A Bowl,,"NIBM Road, Pune"
6190,Golden Curry By Hotel Grand Emerald,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Chinchwad, Pune"
6191,Hotel Gupta Bar and Permit Room,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
6192,7th Heaven,"
Digital payments accepted","Baner, Pune"
6193,Pema Sakhang,,"Pimple Saudagar, Pune"
6194,The Paratha Place,,"Lohegaon, Pune"
6195,Chinese Express,,"Kothrud, Pune"
6196,Badshahi Birayni,,"Kothrud, Pune"
6197,AwwSome Bite,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
6198,Pizza Hut,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
6199,Annapoorna,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
6200,McCafe by McDonald's,,"Hadapsar, Pune"
6201,It's Delicious Kitchen,,"Sinhgad Road, Pune"
6202,AD's Snacks and Biryani House,"
Digital payments accepted","Viman Nagar, Pune"
6203,Shree Sainath Snacks Center,,"Rasta Peth, Pune"
6204,Pizza & Sandwich Place,,"Wadgaon Sheri, Pune"
6205,Punnamada Kerala Kitchen,Cash and Cards accepted,"Expressway, Pune"
6206,Crazy Cheesy,"Cash and Cards accepted
Digital payments accepted","Balewadi, Pune"
6207,Kapila Kathi Kebab,"
Digital payments accepted","Dhole Patil Road, Pune"
6208,Barbeque Nation,Cash and Debit Cards accepted,"Chinchwad, Pune"
6209,Masala World,"
Digital payments accepted","Kharadi, Pune"
6210,Hotel Al Madeena,,"Lohegaon, Pune"
6211,Taco Bell,,"Viman Nagar, Pune"
6212,Hotel Crystal,"Cash and Cards accepted
Digital payments accepted","Hadapsar, Pune"
6213,Deep Restaurant,"
Digital payments accepted","Dhanori, Pune"
6214,Baskin Robbins,"
Digital payments accepted","Koregaon Park, Pune"
6215,Supreme Sandwich Corner,"Cash and Cards accepted
Digital payments accepted","FC Road, Pune"
6216,Way Down South,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
6217,Yewale Amruttulya,"
Digital payments accepted","Viman Nagar, Pune"
6218,RK'S Family Restro & Bar,Cash and Cards accepted,"Narhe, Pune"
6219,Minara,,"Lohegaon, Pune"
6220,Blue Water,Cash and Cards accepted,"Ravet, Pune"
6221,Bird Valley,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Wakad, Pune"
6222,Chitale Bandhu Mithaiwale,,"Salunkhe Vihar Road, Pune"
6223,Rolls Mania,"Cash and Cards accepted
Digital payments accepted","Pashan, Pune"
6224,Godavari Snacks,,"Magarpatta, Pune"
6225,Momos Experiment,,"Karve Nagar, Pune"
6226,The Good Bowl,,"MG Road, Pune"
6227,The Cake & Cream Factory,"Cash and Cards accepted
Digital payments accepted","Aundh, Pune"
6228,Anna Cafe & Restaurant,"
Digital payments accepted","Katraj, Pune"
6229,Little Eats,,"Wakad, Pune"
6230,Farmer's Choice,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
6231,Homely Meals@69,,"Pimple Gurav, Pune"
6232,Kolkata Calling,,"Koregaon Park, Pune"
6233,Khichdi Experiment,,"Baner, Pune"
6234,La Cheesy,,"Vishrantwadi, Pune"
6235,Hotel Jagdamb,"
Digital payments accepted","Ravet, Pune"
6236,Le Petit Amour Patisserie & Bistro,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
6237,Eatsome,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Model Colony, Pune"
6238,Royal Lotus Pure Veg Restaurant,Cash and Cards accepted,"Wakad, Pune"
6239,Cafe Rowdy Chaska,"
Digital payments accepted","Pimpri, Pune"
6240,Bhuleshwar Misal,,"Hadapsar, Pune"
6241,What' A Sandwich!,,"Bibvewadi, Pune"
6242,Royal Cake And More,,"Kondhwa, Pune"
6243,Chicken Xperience by Venky's,"Cash and Cards accepted
Digital payments accepted","Fatima Nagar, Pune"
6244,Hot Chinese & Momos,,"Kothrud, Pune"
6245,Hotel Royal Tandoor & Chinese,,"Bhugaon, Pune"
6246,The Waffle Jar,,"Chinchwad, Pune"
6247,Eden Bakery,,"Pimpri, Pune"
6248,Jalaram Dabeli & Vadapav,,"Dhanori, Pune"
6249,Madhura Mess And Caterers,,"Dhankawadi, Pune"
6250,Darling B&B,,"Dhanori, Pune"
6251,Bella Ciao Cafe,"
Digital payments accepted","Pimpri, Pune"
6252,Kekiz The Cake Shop,"
Digital payments accepted","Kharadi, Pune"
6253,Five Fingers,,"NIBM Road, Pune"
6254,Al-Hifazat Kabab's & Caterers,"Cash and Cards accepted
Digital payments accepted","Yerawada, Pune"
6255,Vernekar's Goan Fish Curry,"Cash and Cards accepted
Digital payments accepted","Karve Nagar, Pune"
6256,New Rajdhani Caterers,"
Digital payments accepted","Aundh, Pune"
6257,The Kachori Hub,,"Erandwane, Pune"
6258,Ajantha,"
Digital payments accepted","Sadashiv Peth, Pune"
6259,Lucknowi Kebabs,,"Viman Nagar, Pune"
6260,Natural Ice Cream,,"Camp Area, Pune"
6261,Aangan Veg Restaurant,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Katraj, Pune"
6262,Crown Baker's,,"Sinhgad Road, Pune"
6263,Baskin Robbins,Cash and Cards accepted,"Sinhgad Road, Pune"
6264,Hotel Bhoomika- Khandeshi Lunch Home,"
Digital payments accepted","Nigdi, Pune"
6265,Burger 11,,"Wadgaon Sheri, Pune"
6266,Hotel Rajwada,"Cash and Cards accepted
Digital payments accepted","Akurdi, Pune"
6267,Vaishnavi  Bhel And Panipuri,"
Digital payments accepted","Bibvewadi, Pune"
6268,Koko Scoop,,"Lohegaon, Pune"
6269,Sathej Kitchen,"
Digital payments accepted","Bibvewadi, Pune"
6270,NIC - Natural Ice Creams,,"Hinjawadi, Pune"
6271,The Brooklyn Creamery - Healthy Ice Cream,,"Pimple Nilakh, Pune"
6272,Pune Darbar Biryani House,,"Camp Area, Pune"
6273,Doux Voyage,,"Fatima Nagar, Pune"
6274,Momo's Corrner,"
Digital payments accepted","Koregaon Park, Pune"
6275,Healthy Food,,"Dange Chowk, Pune"
6276,Royal Park Restaurant,"Cash and Cards accepted
Digital payments accepted","Undri, Pune"
6277,Hotel Jagdamb,,"Dhankawadi, Pune"
6278,Best Of South,"Cash and Cards accepted
Digital payments accepted","Bavdhan, Pune"
6279,Wooden Chopsticks Chinese,,"Karve Nagar, Pune"
6280,Henny's Gourmet,,"Salunkhe Vihar Road, Pune"
6281,GLOBO Ice Creams Of The World,,"Bavdhan, Pune"
6282,Shawarma King,,"Hadapsar, Pune"
6283,King Of Darjeeling,,"Wagholi, Pune"
6284,Momo King 333,,"Wakad, Pune"
6285,Hotel Samrat,"Cash and Cards accepted
Digital payments accepted","Dhole Patil Road, Pune"
6286,Tejaaz Tandoor Cafe,"
Digital payments accepted","Chinchwad, Pune"
6287,Sweet Truth - Cake and Desserts,,"Pimple Saudagar, Pune"
6288,MoMo 2Go - Courtyard By Marriott Pune Hinjewadi,"Cash and Cards accepted
Digital payments accepted","Courtyard By Marriott, Hinjewadi, Pune"
6289,New Golden Gate Family Restaurant,"Cash and Cards accepted
Digital payments accepted","Dehu Road, Pune"
6290,S Kumar Wadewale,"
Digital payments accepted","Wanowrie, Pune"
6291,Maa Gayatri Restaurant,,"Ravet, Pune"
6292,Royal Kulfi & Rabdi,,"Khadki, Pune"
6293,Cady Chinese,,"Baner, Pune"
6294,Pav Bhaji Company,,"Wakad, Pune"
6295,Delhi Darbar Husen Caterers,,"Pimple Saudagar, Pune"
6296,Karachi Sweet Mart,,"Fatima Nagar, Pune"
6297,Vishal Chocolate Toast & Sandwich,"
Digital payments accepted","Bibvewadi, Pune"
6298,The Royal's Multicuisine Restaurant,"Cash and Cards accepted
Digital payments accepted","Dhanori, Pune"
6299,Hotel Red Chilli,"
Digital payments accepted","Hadapsar, Pune"
6300,Sublime Bistro,"Cash and Debit Cards accepted
Digital payments accepted","Bibvewadi, Pune"
6301,LeanCrust Pizza - ThinCrust Experts,,"Salunkhe Vihar Road, Pune"
6302,Hotel Famous,,"Pimpri, Pune"
6303,Modern Sweets,"
Digital payments accepted","Sinhgad Road, Pune"
6304,New Poona Bakery,"
Digital payments accepted","Viman Nagar, Pune"
6305,Elephant & Co.,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
6306,The Biryani Life,,"Bavdhan, Pune"
6307,Flavours Of China & Lebanon,,"Hadapsar, Pune"
6308,ZAZA 22 Spice Biryani,,"Undri, Pune"
6309,Monginis,,"Hadapsar, Pune"
6310,Treize Pizza Caffe,"
Digital payments accepted","Pimple Nilakh, Pune"
6311,Foodland Restaurant,Cash and Cards accepted,"Bund Garden Road, Pune"
6312,The Sindhi Rasoi,,"Chandan Nagar, Pune"
6313,The China Express,,"Sinhgad Road, Pune"
6314,Snack Eat,,"Pimple Gurav, Pune"
6315,Dada's Cabin,,"Hadapsar, Pune"
6316,CSK- Chicken Shawarma King,,"Katraj, Pune"
6317,Ka Pie!,,"Kondhwa, Pune"
6318,Uncle Chinese Kitchen,,"Karve Nagar, Pune"
6319,Hero Sandwiches,,"Baner, Pune"
6320,Govind Paratha House.,"
Digital payments accepted","Sinhgad Road, Pune"
6321,Banjos The Food Chain,"
Digital payments accepted","FC Road, Pune"
6322,Pars Kitchen Co.,,"Undri, Pune"
6323,Bismillah,,"Lohegaon, Pune"
6324,Desi Tadka,,"Lohegaon, Pune"
6325,Happiness The Cake World,,"Wakad, Pune"
6326,Bonzer Pizza,,"JM Road, Pune"
6327,Jannat Restaurant,"
Digital payments accepted","Camp Area, Pune"
6328,Kwality Wall’s Frozen Dessert and Ice Cream Shop,,"Pimpri, Pune"
6329,Manna Foods,,"Kondhwa, Pune"
6330,KD's Junction,"
Digital payments accepted","Dhankawadi, Pune"
6331,The Big Bang Burger,"
Digital payments accepted","Kondhwa, Pune"
6332,Pokket Cafe,"
Digital payments accepted","Karve Nagar, Pune"
6333,Upsouth,"Cash and Cards accepted
Digital payments accepted","Aundh, Pune"
6334,The Chef's Gallery,,"Kharadi, Pune"
6335,Biryani Gowda,,"Wakad, Pune"
6336,Real South,"
Digital payments accepted","Wakad, Pune"
6337,Sweet Truth - Cake and Desserts,,"Karve Nagar, Pune"
6338,Laxmi Narayan Kitchen,,"Pimpri, Pune"
6339,LeanCrust Pizza - ThinCrust Experts,,"Baner, Pune"
6340,UBQ by Barbeque Nation,,"R Deccan Mall, JM Road, Pune"
6341,Carnival Restaurant And Bar,Cash and Cards accepted,"Mundhwa, Pune"
6342,Hotel OVI NonVeg Special,"Cash and Cards accepted
Digital payments accepted","Chandan Nagar, Pune"
6343,Mahadevi Biryani House,,"Bhosari, Pune"
6344,Lai Bhari Chinese,,"Baner, Pune"
6345,Cupcake Bliss Cakes & Desserts,,"Hadapsar, Pune"
6346,Jai Bhole Restaurant,"
Digital payments accepted","Hadapsar, Pune"
6347,Shree Mahalaxmi Misal And Snacks,"
Digital payments accepted","Pimple Gurav, Pune"
6348,Haveli Unlimited,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
6349,Empress Of China,,"Erandwane, Pune"
6350,Hotel Sinhgad Fountain,,"Sinhgad Road, Pune"
6351,KOD - King Of Desserts And Waffles,"Cash and Cards accepted
Digital payments accepted","Deccan Gymkhana, Pune"
6352,Timeout,,"NIBM Road, Pune"
6353,The Cakes Basket,,"Chinchwad, Pune"
6354,Chinese Wok - Wok Express,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
6355,Cafe Durga Tathawade Branch,"Cash and Cards accepted
Digital payments accepted","Wakad, Pune"
6356,Firangi Bake,,"Wadgaon Sheri, Pune"
6357,Natural Ice Cream,"Cash and Cards accepted
Digital payments accepted","JM Road, Pune"
6358,Wadeshwar Bhuvan,"Cash and Cards accepted
Digital payments accepted","The Pavillion, Senapati Bapat Road, Pune"
6359,Sentosa MultiCuisine Restaurant,"Cash and Cards accepted
Digital payments accepted","Ravet, Pune"
6360,Charcoal Barn,"
Digital payments accepted","Salunkhe Vihar Road, Pune"
6361,Hotel Rajmudra,"Cash and Cards accepted
Digital payments accepted","Warje, Pune"
6362,Cafe Cloud 9,Cash and Cards accepted,"Pimpri, Pune"
6363,Ashwini's Kitchen,,"Sadashiv Peth, Pune"
6364,Tea Villa Cafe,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
6365,Panavar Ice Cream Parlour,,"Dhayari, Pune"
6366,S Kumar Wadewale,"
Digital payments accepted","Undri, Pune"
6367,Wok Man,,"Kalyani Nagar, Pune"
6368,Ashok Restaurant,"Cash and Cards accepted
Digital payments accepted","Rasta Peth, Pune"
6369,Meals @ Biryani ,,"Hadapsar, Pune"
6370,Sarja,"
Digital payments accepted","Pimple Gurav, Pune"
6371,Gangotri Pure Veg,Cash and Cards accepted,"Katraj, Pune"
6372,Royal Momos,,"Pimpri, Pune"
6373,Satgurus's Rasoi Khana,,"Hadapsar, Pune"
6374,Sai,,"Nucleus Mall, Camp, Pune"
6375,Nisarg Hotel Special Misal House,,"Ravet, Pune"
6376,Global Punjab,"Cash and Cards accepted
Digital payments accepted","Wakad, Pune"
6377,Haldiram's Express,Cash and Cards accepted,"Kothrud, Pune"
6378,Aaisaheb Family Restaurant,"
Digital payments accepted","Sadashiv Peth, Pune"
6379,Breakfast Bee,,"Wadgaon Sheri, Pune"
6380,Balaji Ice cream,"
Digital payments accepted","Lohegaon, Pune"
6381,Degchi Biryani,"
Digital payments accepted","Mundhwa, Pune"
6382,MOJO Pizza - 2X Toppings,,"Wanowrie, Pune"
6383,Veera Paan Culture,,"Chandan Nagar, Pune"
6384,Hotel Surya Biryani House,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
6385,New Dragon Chinese Corner ,"
Digital payments accepted","Yerawada, Pune"
6386,CakeZone,,"Senapati Bapat Road, Pune"
6387,Chinese Culture,,"Baner, Pune"
6388,Nikhil's Kitchen Pav Bhaji & Café,"
Digital payments accepted","Ravet, Pune"
6389,Vishal Restaurant,"Cash and Cards accepted
Digital payments accepted","Fatima Nagar, Pune"
6390,Maxican Spice,,"Yerawada, Pune"
6391,Chay Punters,"
Digital payments accepted","Law College Road, Pune"
6392,Royal Chinese And Fast Food,,"Bibvewadi, Pune"
6393,Maratha Samrat,Cash and Cards accepted,"Camp Area, Pune"
6394,Kitchen 24x7,,"Wagholi, Pune"
6395,Bismillah Catering,"
Digital payments accepted","Wakad, Pune"
6396,Pizza Hut,Cash and Cards accepted,"The Pavillion, Senapati Bapat Road, Pune"
6397,In Between,,"Aundh, Pune"
6398,Deccan Harvest,Cash and Cards accepted,"Magarpatta, Pune"
6399,Foodland,,"Yerawada, Pune"
6400,Sai Veg Non Veg,"
Digital payments accepted","Rasta Peth, Pune"
6401,Shree Krishna Pure Veg Chinese,,"Camp Area, Pune"
6402,Marathmola Zhatka  Chakh Le,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
6403,WOW! Momo,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
6404,Tasty Corner,"Cash and Meal Coupons accepted
Digital payments accepted","Bund Garden Road, Pune"
6405,Dorabjee & Sons,,"Camp Area, Pune"
6406,Infinity Cafe,"Cash and Cards accepted
Digital payments accepted","Ravet, Pune"
6407,Bring It On Cafe,"Cash and Cards accepted
Digital payments accepted","Wanowrie, Pune"
6408,The Momo Panda,"Cash and Cards accepted
Digital payments accepted","Pimpri, Pune"
6409,Swara Juice Bar,"
Digital payments accepted","Kothrud, Pune"
6410,Bob The Baker,,"Viman Nagar, Pune"
6411,The Good Bowl,,"NIBM Road, Pune"
6412,Veggies Paradise,,"Undri, Pune"
6413,Koliwada Machi Dhaba,"
Digital payments accepted","Nigdi, Pune"
6414,Baskin Robbins,,"Westend Mall, Aundh, Pune"
6415,Sharma Ice Cream & Pav Bhaji,,"Chinchwad, Pune"
6416,Comboman,,"Kharadi, Pune"
6417,Punjab Express,"Cash and Cards accepted
Digital payments accepted","Bavdhan, Pune"
6418,Hotel Bhairav Mutton Bhakri,"
Digital payments accepted","Akurdi, Pune"
6419,Shahi Dawat,,"Kondhwa, Pune"
6420,Hotel New Zaika,,"Yerawada, Pune"
6421,Hotel Sahyadri,"
Digital payments accepted","Dange Chowk, Pune"
6422,Telugu Ruchulu,,"Chinchwad, Pune"
6423,Aromas Of Paradise,,"Kharadi, Pune"
6424,Khichdi Experiment,,"Wadgaon Sheri, Pune"
6425,Swad Fish House,"
Digital payments accepted","Hadapsar, Pune"
6426,Anna Idli,Cash and Cards accepted,"Bibvewadi, Pune"
6427,Yug 21 Eateries,,"Kharadi, Pune"
6428,Kokan Ratna Sea Food,,"Sinhgad Road, Pune"
6429,Mithas,,"Wakad, Pune"
6430,GLOBO Ice Creams Of The World,,"Lohegaon, Pune"
6431,McDonald's,Cash and Cards accepted,"Kothrud, Pune"
6432,Hotel Daawat,,"Kondhwa, Pune"
6433,Brunch Biryani,,"Hadapsar, Pune"
6434,Swarajya Wadewale,"
Digital payments accepted","Kharadi, Pune"
6435,Keshav Kunj Pure Veg,,"Wagholi, Pune"
6436,Jai Bhavani,"Cash and Cards accepted
Digital payments accepted","Parvati, Pune"
6437,FoodGinie,,"Wakad, Pune"
6438,Shivshambu Family Restaurant,"
Digital payments accepted","Mundhwa, Pune"
6439,Hotel New Sinhagad Shahi Tandoor,,"Narhe, Pune"
6440,Subway,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
6441,Sikandars Shahi Biryani,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
6442,Domiona Pizza,,"Wagholi, Pune"
6443,The Baker's Dozen,,"Aundh, Pune"
6444,Giani Ice Cream,"Cash and Cards accepted
Digital payments accepted","Dhanori, Pune"
6445,Rangla Punjab,"Cash and Cards accepted
Digital payments accepted","Wakad, Pune"
6446,Parth Kitchen,"Cash and Cards accepted
Digital payments accepted","Pimple Gurav, Pune"
6447,Chinese Karkhana,,"Pimple Saudagar, Pune"
6448,Flame On,,"Mundhwa, Pune"
6449,Biryani Master,,"Karve Nagar, Pune"
6450,Mealful Rolls - Meals In A Roll,,"Hadapsar, Pune"
6451,Krushnakala Khanawal,"
Digital payments accepted","Wadgaon Sheri, Pune"
6452,GetAWhey - Healthy Ice Creams,,"Hinjawadi, Pune"
6453,Best Belgian Waffle,,"Viman Nagar, Pune"
6454,Global Punjab,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Kharadi, Pune"
6455,Shaukeen Paan Shop,,"Bavdhan, Pune"
6456,Shakezone,,"Erandwane, Pune"
6457,New Tandoor Point,"Cash and Cards accepted
Digital payments accepted","Senapati Bapat Road, Pune"
6458,The Crazy Rolls,,"Wadgaon Sheri, Pune"
6459,The Pizza,,"Aundh, Pune"
6460,Burger 1,,"Pimpri, Pune"
6461,Subway,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Mariplex Mall, Kalyani Nagar, Pune"
6462,Chinese Bowl Company,,"Pimple Saudagar, Pune"
6463,Shree Shegaon Kachori,,"Dange Chowk, Pune"
6464,Creamy Nuts - Pizza & Snacks,,"Hadapsar, Pune"
6465,London Dairy,,"Koregaon Park, Pune"
6466,Must Eat,,"Sinhgad Road, Pune"
6467,Pune Kitchies,,"Dhankawadi, Pune"
6468,In Between,,"Baner, Pune"
6469,Mad Momos,,"NIBM Road, Pune"
6470,Pandit Pan Pratisthan,,"Fatima Nagar, Pune"
6471,Sai Leela,"
Digital payments accepted","Senapati Bapat Road, Pune"
6472,Dabba Garam,,"Hadapsar, Pune"
6473,Malhar Wada Family Restaurant,,"Manjri Budruk, Pune"
6474,Oye Kakke By Spice Factory,,"Wakad, Pune"
6475,Gulbarga Tahari And Biryani,"
Digital payments accepted","NIBM Road, Pune"
6476,Merwans Cake Stop ,"
Digital payments accepted","East Street, Pune"
6477,Cake Lovers,"
Digital payments accepted","Dhankawadi, Pune"
6478,Salad Tender,,"Wadgaon Sheri, Pune"
6479,Chitale Ice Cream,"
Digital payments accepted","Sadashiv Peth, Pune"
6480,Hungry Paaji,,"Viman Nagar, Pune"
6481,Vishwas Family Resto Bar,"Cash and Cards accepted
Digital payments accepted","Sinhgad Road, Pune"
6482,Malaka Spice,,"Pimple Saudagar, Pune"
6483,Kwality Wall’s Frozen Dessert and Ice Cream Shop,,"Viman Nagar, Pune"
6484,Ideal Restaurant,,"Akurdi, Pune"
6485,Frozen Bottle,"Cash and Cards accepted
Digital payments accepted","Koregaon Park, Pune"
6486,The Cake's Basket,,"Chinchwad, Pune"
6487,Snappy Dragon,"
Digital payments accepted","Bavdhan, Pune"
6488,Maria's Kitchen,,"Kondhwa, Pune"
6489,Rolls Mania,"
Digital payments accepted","Kothrud, Pune"
6490,Supreme Restaurant Bar,"Cash and Cards accepted
Digital payments accepted","Pimpri, Pune"
6491,Burger Mania,,"Wadgaon Sheri, Pune"
6492,Le Pizza King,"
Digital payments accepted","Wadgaon Sheri, Pune"
6493,Siilver Spoon Family Resto & Bar,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Wakad, Pune"
6494,Biggies Burger,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
6495,Nature's Kitchen,,"Wadgaon Sheri, Pune"
6496,Calicut Biryani,,"Baner, Pune"
6497,Ardhey Mess,,"Yerawada, Pune"
6498,The Cheese Truck,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
6499,King Sandwich & Juice,,"Wadgaon Sheri, Pune"
6500,Snacktales,,"Hinjawadi, Pune"
6501,Chinese Panda,,"Nigdi, Pune"
6502,The Curious Kitchen & Bar,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
6503,Lucky Paan Shop,,"Karve Nagar, Pune"
6504,Domi'o Pizza,,"Wadgaon Sheri, Pune"
6505,Karim Caterers,,"Ghorpadi, Pune"
6506,Maggify,"
Digital payments accepted","Kondhwa, Pune"
6507,Alen's Restaurant,"
Digital payments accepted","Kondhwa, Pune"
6508,The Chinese Wok,"Cash and Cards accepted
Digital payments accepted","Pimple Nilakh, Pune"
6509,S S Foods,,"Shukrawar Peth, Pune"
6510,Chinese Express,"
Digital payments accepted","Wakad, Pune"
6511,Archana Pure Veg,"Cash and Cards accepted
Digital payments accepted","Budhwar Peth, Pune"
6512,Gandharv Pure Veg,Cash and Cards accepted,"Ravet, Pune"
6513,Krishna Biryani's,"Cash and Cards accepted
Digital payments accepted","Sinhgad Road, Pune"
6514,Rajbhog,,"Erandwane, Pune"
6515,ZAZA 22 Spice Biryani,,"Baner, Pune"
6516,Preeti Pav Bhaji,,"Sadashiv Peth, Pune"
6517,Slyder ryder,,"Kalyani Nagar, Pune"
6518,Burgers And Shakes,,"Baner, Pune"
6519,Urban Foods & Cafe,"
Digital payments accepted","Hinjawadi, Pune"
6520,Ganraj Bhel Pav Bhaji & Snacks,"
Digital payments accepted","Katraj, Pune"
6521,Shawarma Junction,"Cash and Cards accepted
Digital payments accepted","Kharadi, Pune"
6522,Rajveer Bhojnalay And Snack Centre,,"Dhanori, Pune"
6523,Bedi's Naan & Paratha House,"
Digital payments accepted","Baner, Pune"
6524,Daiwong,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
6525,NH1 Bowls - Highway To North,,"Salunkhe Vihar Road, Pune"
6526,Adi's Foodooze,,"Dhanori, Pune"
6527,Chicago Delights Pizza & Grillz,"
Digital payments accepted","Ravet, Pune"
6528,Spice It,"Cash and Cards accepted
Digital payments accepted","Hotel Ibis, Viman Nagar, Pune"
6529,Meals in Bowls,,"Hinjawadi, Pune"
6530,Burgers & More,,"Lavale, Pune"
6531,Mayur Misal House,"
Digital payments accepted","Ravet, Pune"
6532,Burger 69 & More,,"FC Road, Pune"
6533,Hotel Rajmudra,"
Digital payments accepted","Wakad, Pune"
6534,Dhaba Special,,"Hadapsar, Pune"
6535,Hippie@Heart,"Cash and Cards accepted
Digital payments accepted","Deccan Gymkhana, Pune"
6536,The Wow Momos,,"Dhanori, Pune"
6537,Samarth Misal,"
Digital payments accepted","Hadapsar, Pune"
6538,Crazy Noodles ,"
Digital payments accepted","Wakad, Pune"
6539,Shaolin,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Pimple Saudagar, Pune"
6540,GLOBO Ice Creams Of The World,,"Magarpatta, Pune"
6541,Biryani Joy,,"Hinjawadi, Pune"
6542,Paramhans Pure Veg,"Cash and Cards accepted
Digital payments accepted","Bavdhan, Pune"
6543,Om Pure Veg,,"Kondhwa, Pune"
6544,Mehfil Chinese,,"Pimple Saudagar, Pune"
